seed=0  affine recalibration fitted on a held-out batch, scored on another

                   run      t   raw rel  recal rel    alpha      beta    blind
  dissipative(e=0.001)     64    0.0526     0.0507   0.9893     0.001   0.4344
  dissipative(e=0.001)    128    0.0364     0.0345   1.0230    -0.072   0.2300
  dissipative(e=0.001)    256    0.0697     0.0260   1.0745     0.049   0.1451
  dissipative(e=0.001)    512    0.1723     0.0231   1.1812     0.990   0.1004
  dissipative(e=0.001)   1024    0.3386     0.0220   1.3921     6.172   0.0705

  dissipative(e=1e-06)     64    0.0496     0.0500   1.0007     0.015   0.4344
  dissipative(e=1e-06)    128    0.0340     0.0339   1.0069     0.013   0.2300
  dissipative(e=1e-06)    256    0.0258     0.0236   1.0112     0.125   0.1451
  dissipative(e=1e-06)    512    0.0333     0.0169   1.0079     0.968   0.1004
  dissipative(e=1e-06)   1024    0.0613     0.0115   1.0291     2.637   0.0705

       pinned(e=0.001)     64    0.0538     0.0495   1.0260    -0.142   0.4344
       pinned(e=0.001)    128    0.0365     0.0343   1.0304    -0.318   0.2300
       pinned(e=0.001)    256    0.0249     0.0237   1.0310    -0.628   0.1451
       pinned(e=0.001)    512    0.0172     0.0167   1.0147    -0.665   0.1004
       pinned(e=0.001)   1024    0.0119     0.0116   1.0134    -1.187   0.0705

